id,role,type,description,size/ratio,style line ref,source
neon-city-background,full-screen game backdrop,image,night casino skyline with neon architecture palms and wet-street reflections,16:9,STYLE_FORMULA,generate from user neon reference
game-logo,logo centered above the reel cabinet,image,Two Jackpots Wild Wheel crown logo,wide transparent,STYLE_FORMULA,reference_media[1]
symbol-seven,reel symbol S1,image,crowned red seven character,1:1,STYLE_FORMULA,reference_media[1]
symbol-diamond,reel symbol S2,image,smiling blue diamond character,1:1,STYLE_FORMULA,reference_media[1]
symbol-watermelon,reel symbol S3,image,smiling watermelon character,1:1,STYLE_FORMULA,reference_media[1]
symbol-plum,reel symbol S4,image,winking purple plum character,1:1,STYLE_FORMULA,reference_media[1]
symbol-apple,reel symbol S5,image,winking red apple character,1:1,STYLE_FORMULA,reference_media[1]
symbol-cherry,reel symbol S6,image,paired red cherry characters,1:1,STYLE_FORMULA,reference_media[1]
symbol-bell,reel symbol S7,image,winking gold bell character,1:1,STYLE_FORMULA,reference_media[1]
symbol-bar,reel symbol S8,image,gold BAR stone plaque,1:1,STYLE_FORMULA,reference_media[1]
